Title,Artist
Paint The Town Red,Doja Cat
Snooze,SZA
Fast Car,Luke Combs
Cruel Summer,Taylor Swift
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Last Night,Morgan Wallen
Vampire,Olivia Rodrigo
Fukumean,Gunna
Calm Down,Rema & Selena Gomez
Dance The Night,Dua Lipa
Barbie World,Nicki Minaj & Ice Spice With Aqua
Slime You Out,Drake Featuring SZA
Religiously,Bailey Zimmerman
Sarah's Place,Zach Bryan Featuring Noah Kahan
Flowers,Miley Cyrus
Bad Idea Right?,Olivia Rodrigo
Thinkin' Bout Me,Morgan Wallen
Agora Hills,Doja Cat
All My Life,Lil Durk Featuring J. Cole
Need A Favor,Jelly Roll
Anti-Hero,Taylor Swift
Used To Be Young,Miley Cyrus
Rich Men North Of Richmond,Oliver Anthony Music
Greedy,Tate McRae
Kill Bill,SZA
Boys Of Faith,Zach Bryan Featuring Bon Iver
Dial Drunk,Noah Kahan With Post Malone
What Was I Made For?,Billie Eilish
Watermelon Moonshine,Lainey Wilson
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Karma,Taylor Swift Featuring Ice Spice
What It Is (Block Boy),Doechii Featuring Kodak Black
Great Gatsby,Rod Wave
Get Him Back!,Olivia Rodrigo
I Know ?,Travis Scott
Good Good,"Usher, Summer Walker & 21 Savage"
Daylight,David Kushner
Peaches & Eggplants,Young Nudy Featuring 21 Savage
Try That In A Small Town,Jason Aldean
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
Qlona,Karol G & Peso Pluma
Meltdown,Travis Scott Featuring Drake
Love You Anyway,Luke Combs
Bongos,Cardi B & Megan Thee Stallion
Deep Satin,Zach Bryan
Boyz Don't Cry,Rod Wave
Save Me,Jelly Roll With Lainey Wilson
Come See Me,Rod Wave
Single Soon,Selena Gomez
Call Your Friends,Rod Wave
Turks & Caicos,Rod Wave Featuring 21 Savage
Hey Driver,Zach Bryan Featuring The War And Treaty
Seven,Jung Kook Featuring Latto
Nine Ball,Zach Bryan
El Jefe,Shakira X Fuerza Regida
All-American Bitch,Olivia Rodrigo
White Horse,Chris Stapleton
Mi Ex Tenia Razon,Karol G
LaLa,Myke Towers
500lbs,Lil Tecca
Tourniquet,Zach Bryan
One More Time,Blink-182
Strangers,Kenya Grace
The Grudge,Olivia Rodrigo
Un Preview,Bad Bunny
"Pain, Sweet, Pain",Zach Bryan
Lose Control,Teddy Swims
SkeeYee,Sexyy Red
Everything I Love,Morgan Wallen
Popular,"The Weeknd, Playboi Carti & Madonna"
HG4,Rod Wave
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Truck Bed,HARDY
Lil Boo Thang,Paul Russell
Long Journey,Rod Wave
My Love Mine All Mine,Mitski
Telekinesis,Travis Scott Featuring SZA & Future
Tulum,Peso Pluma & Grupo Frontera
Sabor Fresa,Fuerza Regida
Spotless,Zach Bryan Featuring The Lumineers
Girl In Mine,Parmalee
Deli,Ice Spice
Segun Quien,Maluma & Carin Leon
Lacy,Olivia Rodrigo
Oh U Went,Young Thug Featuring Drake
Nostalgia,Rod Wave & Wet
Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
HVN On Earth,Lil Tecca & Kodak Black
Bipolar,Peso Pluma x Jasiel Nunez x Junior H
In Your Love,Tyler Childers
Crazy,Rod Wave
Demons,Doja Cat
Making The Bed,Olivia Rodrigo
Logical,Olivia Rodrigo
East Side Of Sorrow,Zach Bryan
Standing Room Only,Tim McGraw
Checkmate,Rod Wave
Can't Have Mine,Dylan Scott
On My Mama,Victoria Monet
Love Is Embarrassing,Olivia Rodrigo
