Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Yellow,Coldplay,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773.0,4.0
All The Small Things,blink-182,0.434,0.897,0.0,-4.918,1.0,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067.0,4.0
Breathe,Faith Hill,0.529,0.496,7.0,-9.007,1.0,0.029,0.173,0.0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547.0,4.0
In the End,Linkin Park,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880.0,4.0
Bye Bye Bye,*NSYNC,0.61,0.926,8.0,-4.843,0.0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400.0,4.0
Thong Song,Sisqo,0.706,0.888,2.0,-6.959,1.0,0.0654,0.119,9.64e-05,0.07,0.714,121.549,audio_features,5Mmk2ii6laakqfeCT7OnVD,spotify:track:5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733.0,4.0
The Real Slim Shady,Eminem,0.869,0.68,1.0,-6.233,1.0,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,audio_features,75IN3CtuZwTHTnZvYM4qnJ,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/tracks/75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/audio-analysis/75IN3CtuZwTHTnZvYM4qnJ,268400.0,4.0
Rock DJ,Robbie Williams,0.712,0.762,7.0,-4.307,1.0,0.0326,0.026,0.0,0.0981,0.842,103.032,audio_features,7oQSevUCbYs4QawXTHQVV1,spotify:track:7oQSevUCbYs4QawXTHQVV1,https://api.spotify.com/v1/tracks/7oQSevUCbYs4QawXTHQVV1,https://api.spotify.com/v1/audio-analysis/7oQSevUCbYs4QawXTHQVV1,260560.0,4.0
Say My Name,Destiny's Child,0.713,0.678,5.0,-3.525,0.0,0.102,0.273,0.0,0.149,0.734,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333.0,4.0
Otherside,Red Hot Chili Peppers,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,64BbK9SFKH2jk86U3dGj2P,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373.0,4.0
Kryptonite,3 Doors Down,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933.0,4.0
Forgot About Dre,Dr. Dre,0.924,0.74,8.0,-1.299,1.0,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293.0,4.0
